#   rho[fm-3]     e[MeV.fm-3]   p[MeV.fm-3]
   0.400000E-01  0.377518E+02  0.145486E+00
   0.459839E-01  0.434238E+02  0.182315E+00
   0.519679E-01  0.491007E+02  0.221615E+00
   0.579518E-01  0.547823E+02  0.263523E+00
   0.639357E-01  0.604684E+02  0.308375E+00
   0.699197E-01  0.661589E+02  0.356675E+00
   0.759036E-01  0.718536E+02  0.409064E+00
   0.818876E-01  0.775527E+02  0.466307E+00
   0.878715E-01  0.832561E+02  0.529269E+00
   0.938554E-01  0.889641E+02  0.598903E+00
   0.998394E-01  0.946767E+02  0.676240E+00
   0.105823E+00  0.100394E+03  0.762371E+00
   0.111807E+00  0.106117E+03  0.858447E+00
   0.117791E+00  0.111845E+03  0.965664E+00
   0.123775E+00  0.117579E+03  0.108526E+01
   0.129759E+00  0.123319E+03  0.121757E+01
   0.135743E+00  0.129065E+03  0.136305E+01
   0.141727E+00  0.134818E+03  0.152404E+01
   0.147711E+00  0.140578E+03  0.170218E+01
   0.153695E+00  0.146346E+03  0.189896E+01
   0.159679E+00  0.152122E+03  0.211578E+01
   0.165663E+00  0.157907E+03  0.235405E+01
   0.171647E+00  0.163700E+03  0.261512E+01
   0.177631E+00  0.169503E+03  0.290032E+01
   0.183614E+00  0.175316E+03  0.321099E+01
   0.189598E+00  0.181139E+03  0.354839E+01
   0.195582E+00  0.186974E+03  0.391379E+01
   0.201566E+00  0.192820E+03  0.430844E+01
   0.207550E+00  0.198678E+03  0.473354E+01
   0.213534E+00  0.204550E+03  0.519025E+01
   0.219518E+00  0.210434E+03  0.567974E+01
   0.225502E+00  0.216332E+03  0.620309E+01
   0.231486E+00  0.222244E+03  0.676140E+01
   0.237470E+00  0.228172E+03  0.735569E+01
   0.243454E+00  0.234115E+03  0.798696E+01
   0.249438E+00  0.240073E+03  0.865618E+01
   0.255422E+00  0.246049E+03  0.936425E+01
   0.261406E+00  0.252041E+03  0.101121E+02
   0.267390E+00  0.258051E+03  0.109004E+02
   0.273373E+00  0.264079E+03  0.117302E+02
   0.279357E+00  0.270126E+03  0.126021E+02
   0.285341E+00  0.276191E+03  0.135168E+02
   0.291325E+00  0.282277E+03  0.144750E+02
   0.297309E+00  0.288382E+03  0.154774E+02
   0.303293E+00  0.294509E+03  0.165245E+02
   0.309277E+00  0.300656E+03  0.176169E+02
