#   rho[fm-3]     e[MeV.fm-3]   p[MeV.fm-3]
   0.400000E-01  0.377582E+02  0.141096E+00
   0.459839E-01  0.434304E+02  0.177262E+00
   0.519679E-01  0.491075E+02  0.216485E+00
   0.579518E-01  0.547894E+02  0.259120E+00
   0.639357E-01  0.604758E+02  0.305736E+00
   0.699197E-01  0.661668E+02  0.357084E+00
   0.759036E-01  0.718625E+02  0.414073E+00
   0.818876E-01  0.775629E+02  0.477752E+00
   0.878715E-01  0.832682E+02  0.549287E+00
   0.938554E-01  0.889787E+02  0.629951E+00
   0.998394E-01  0.946946E+02  0.721108E+00
   0.105823E+00  0.100416E+03  0.824205E+00
   0.111807E+00  0.106144E+03  0.940754E+00
   0.117791E+00  0.111879E+03  0.107233E+01
   0.123775E+00  0.117621E+03  0.121940E+01
   0.129759E+00  0.123370E+03  0.138199E+01
   0.135743E+00  0.129127E+03  0.156334E+01
   0.141727E+00  0.134892E+03  0.176560E+01
   0.147711E+00  0.140667E+03  0.199074E+01
   0.153695E+00  0.146451E+03  0.224064E+01
   0.159679E+00  0.152245E+03  0.251712E+01
   0.165663E+00  0.158051E+03  0.282200E+01
   0.171647E+00  0.163867E+03  0.315703E+01
   0.177631E+00  0.169696E+03  0.352395E+01
   0.183614E+00  0.175538E+03  0.392449E+01
   0.189598E+00  0.181394E+03  0.436030E+01
   0.195582E+00  0.187264E+03  0.483302E+01
   0.201566E+00  0.193149E+03  0.534424E+01
   0.207550E+00  0.199050E+03  0.589549E+01
   0.213534E+00  0.204967E+03  0.648827E+01
   0.219518E+00  0.210901E+03  0.712402E+01
   0.225502E+00  0.216853E+03  0.780411E+01
   0.231486E+00  0.222824E+03  0.852986E+01
   0.237470E+00  0.228815E+03  0.930252E+01
   0.243454E+00  0.234825E+03  0.101233E+02
   0.249438E+00  0.240856E+03  0.109933E+02
   0.255422E+00  0.246909E+03  0.119136E+02
   0.261406E+00  0.252984E+03  0.128851E+02
   0.267390E+00  0.259081E+03  0.139088E+02
   0.273373E+00  0.265203E+03  0.149856E+02
   0.279357E+00  0.271348E+03  0.161162E+02
   0.285341E+00  0.277518E+03  0.173013E+02
   0.291325E+00  0.283713E+03  0.185417E+02
   0.297309E+00  0.289935E+03  0.198377E+02
   0.303293E+00  0.296183E+03  0.211901E+02
   0.309277E+00  0.302459E+03  0.225992E+02
   0.315261E+00  0.308762E+03  0.240654E+02
   0.321245E+00  0.315094E+03  0.255891E+02
   0.327229E+00  0.321454E+03  0.271706E+02
   0.333213E+00  0.327844E+03  0.288100E+02
   0.339197E+00  0.334264E+03  0.305076E+02
   0.345181E+00  0.340714E+03  0.322635E+02
   0.351165E+00  0.347196E+03  0.340778E+02
   0.357149E+00  0.353709E+03  0.359505E+02
   0.363133E+00  0.360253E+03  0.378816E+02
   0.369116E+00  0.366830E+03  0.398711E+02
   0.375100E+00  0.373440E+03  0.419189E+02
   0.381084E+00  0.380083E+03  0.440249E+02
   0.387068E+00  0.386759E+03  0.461890E+02
   0.393052E+00  0.393469E+03  0.484111E+02
   0.399036E+00  0.400214E+03  0.506908E+02
   0.405020E+00  0.406993E+03  0.530282E+02
   0.411004E+00  0.413807E+03  0.554228E+02
   0.416988E+00  0.420656E+03  0.578744E+02
   0.422972E+00  0.427541E+03  0.603829E+02
   0.428956E+00  0.434462E+03  0.629479E+02
   0.434940E+00  0.441419E+03  0.655691E+02
   0.440924E+00  0.448413E+03  0.682462E+02
   0.446908E+00  0.455443E+03  0.709789E+02
   0.452892E+00  0.462510E+03  0.737670E+02
   0.458876E+00  0.469614E+03  0.766099E+02
   0.464859E+00  0.476756E+03  0.795075E+02
   0.470843E+00  0.483935E+03  0.824593E+02
   0.476827E+00  0.491153E+03  0.854651E+02
   0.482811E+00  0.498408E+03  0.885245E+02
   0.488795E+00  0.505701E+03  0.916370E+02
   0.494779E+00  0.513033E+03  0.948025E+02
   0.500763E+00  0.520404E+03  0.980204E+02
   0.506747E+00  0.527813E+03  0.101291E+03
   0.512731E+00  0.535262E+03  0.104613E+03
   0.518715E+00  0.542749E+03  0.107986E+03
   0.524699E+00  0.550276E+03  0.111410E+03
   0.530683E+00  0.557841E+03  0.114886E+03
   0.536667E+00  0.565447E+03  0.118411E+03
   0.542651E+00  0.573092E+03  0.121987E+03
   0.548635E+00  0.580776E+03  0.125613E+03
   0.554618E+00  0.588501E+03  0.129288E+03
   0.560602E+00  0.596265E+03  0.133012E+03
   0.566586E+00  0.604070E+03  0.136785E+03
   0.572570E+00  0.611914E+03  0.140606E+03
   0.578554E+00  0.619799E+03  0.144475E+03
   0.584538E+00  0.627724E+03  0.148392E+03
   0.590522E+00  0.635689E+03  0.152357E+03
   0.596506E+00  0.643695E+03  0.156369E+03
   0.602490E+00  0.651741E+03  0.160427E+03
   0.608474E+00  0.659828E+03  0.164533E+03
   0.614458E+00  0.667955E+03  0.168684E+03
   0.620442E+00  0.676123E+03  0.172882E+03
   0.626426E+00  0.684332E+03  0.177125E+03
   0.632410E+00  0.692581E+03  0.181414E+03
   0.638394E+00  0.700872E+03  0.185749E+03
   0.644378E+00  0.709203E+03  0.190128E+03
   0.650361E+00  0.717575E+03  0.194551E+03
   0.656345E+00  0.725988E+03  0.199020E+03
   0.662329E+00  0.734441E+03  0.203532E+03
   0.668313E+00  0.742936E+03  0.208089E+03
   0.674297E+00  0.751472E+03  0.212689E+03
   0.680281E+00  0.760049E+03  0.217332E+03
   0.686265E+00  0.768667E+03  0.222019E+03
   0.692249E+00  0.777326E+03  0.226749E+03
   0.698233E+00  0.786026E+03  0.231522E+03
   0.704217E+00  0.794767E+03  0.236337E+03
   0.710201E+00  0.803549E+03  0.241195E+03
   0.716185E+00  0.812372E+03  0.246095E+03
   0.722169E+00  0.821236E+03  0.251037E+03
   0.728153E+00  0.830142E+03  0.256021E+03
   0.734137E+00  0.839088E+03  0.261046E+03
   0.740120E+00  0.848076E+03  0.266113E+03
   0.746104E+00  0.857105E+03  0.271221E+03
   0.752088E+00  0.866175E+03  0.276371E+03
   0.758072E+00  0.875286E+03  0.281561E+03
   0.764056E+00  0.884438E+03  0.286792E+03
   0.770040E+00  0.893632E+03  0.292063E+03
   0.776024E+00  0.902866E+03  0.297375E+03
   0.782008E+00  0.912142E+03  0.302727E+03
   0.787992E+00  0.921459E+03  0.308119E+03
   0.793976E+00  0.930817E+03  0.313551E+03
   0.799960E+00  0.940216E+03  0.319023E+03
   0.805944E+00  0.949656E+03  0.324534E+03
   0.811928E+00  0.959137E+03  0.330085E+03
   0.817912E+00  0.968659E+03  0.335675E+03
   0.823896E+00  0.978222E+03  0.341305E+03
   0.829880E+00  0.987826E+03  0.346974E+03
   0.835863E+00  0.997471E+03  0.352681E+03
   0.841847E+00  0.100716E+04  0.358427E+03
   0.847831E+00  0.101688E+04  0.364212E+03
   0.853815E+00  0.102665E+04  0.370036E+03
   0.859799E+00  0.103646E+04  0.375898E+03
   0.865783E+00  0.104631E+04  0.381798E+03
   0.871767E+00  0.105620E+04  0.387737E+03
   0.877751E+00  0.106614E+04  0.393714E+03
   0.883735E+00  0.107611E+04  0.399728E+03
   0.889719E+00  0.108612E+04  0.405781E+03
   0.895703E+00  0.109618E+04  0.411871E+03
   0.901687E+00  0.110627E+04  0.417999E+03
   0.907671E+00  0.111641E+04  0.424165E+03
   0.913655E+00  0.112658E+04  0.430368E+03
   0.919639E+00  0.113680E+04  0.436608E+03
   0.925622E+00  0.114706E+04  0.442886E+03
   0.931606E+00  0.115736E+04  0.449201E+03
   0.937590E+00  0.116770E+04  0.455553E+03
   0.943574E+00  0.117808E+04  0.461941E+03
   0.949558E+00  0.118850E+04  0.468367E+03
   0.955542E+00  0.119896E+04  0.474830E+03
   0.961526E+00  0.120946E+04  0.481329E+03
   0.967510E+00  0.122001E+04  0.487865E+03
   0.973494E+00  0.123059E+04  0.494438E+03
   0.979478E+00  0.124121E+04  0.501047E+03
   0.985462E+00  0.125188E+04  0.507692E+03
   0.991446E+00  0.126258E+04  0.514374E+03
   0.997430E+00  0.127333E+04  0.521092E+03
   0.100341E+01  0.128411E+04  0.527846E+03
   0.100940E+01  0.129494E+04  0.534636E+03
   0.101538E+01  0.130580E+04  0.541462E+03
   0.102137E+01  0.131671E+04  0.548325E+03
   0.102735E+01  0.132766E+04  0.555223E+03
