#   rho[fm-3]     e[MeV.fm-3]   p[MeV.fm-3]
   0.400000E-01  0.354039E+02  0.171309E+00
   0.459839E-01  0.436180E+02  0.215223E+00
   0.519679E-01  0.493236E+02  0.240064E+00
   0.579518E-01  0.550320E+02  0.262883E+00
   0.639357E-01  0.607427E+02  0.284727E+00
   0.699197E-01  0.664554E+02  0.306946E+00
   0.759036E-01  0.721702E+02  0.331150E+00
   0.818876E-01  0.778869E+02  0.359166E+00
   0.878715E-01  0.836059E+02  0.393016E+00
   0.938554E-01  0.893275E+02  0.434892E+00
   0.998394E-01  0.950520E+02  0.486178E+00
   0.105823E+00  0.100780E+03  0.548003E+00
   0.111807E+00  0.106512E+03  0.624435E+00
   0.117791E+00  0.112248E+03  0.718563E+00
   0.123775E+00  0.117990E+03  0.833311E+00
   0.129759E+00  0.123737E+03  0.971566E+00
   0.135743E+00  0.129492E+03  0.113620E+01
   0.141727E+00  0.135255E+03  0.133009E+01
   0.147711E+00  0.141026E+03  0.155607E+01
   0.153695E+00  0.146807E+03  0.181699E+01
   0.159679E+00  0.152599E+03  0.211564E+01
   0.165663E+00  0.158403E+03  0.245477E+01
   0.171647E+00  0.164221E+03  0.283708E+01
   0.177631E+00  0.170052E+03  0.326519E+01
   0.183614E+00  0.175898E+03  0.374166E+01
   0.189598E+00  0.181761E+03  0.426893E+01
   0.195582E+00  0.187641E+03  0.484936E+01
   0.201566E+00  0.193540E+03  0.548520E+01
   0.207550E+00  0.199458E+03  0.617857E+01
   0.213534E+00  0.205398E+03  0.693148E+01
   0.219518E+00  0.211359E+03  0.774581E+01
   0.225502E+00  0.217344E+03  0.862330E+01
   0.231486E+00  0.223352E+03  0.956557E+01
   0.237470E+00  0.229386E+03  0.105741E+02
   0.243454E+00  0.235446E+03  0.116502E+02
   0.249438E+00  0.241533E+03  0.127951E+02
   0.255422E+00  0.247649E+03  0.140098E+02
   0.261406E+00  0.253794E+03  0.152954E+02
   0.267390E+00  0.259969E+03  0.166525E+02
   0.273373E+00  0.266175E+03  0.180820E+02
   0.279357E+00  0.272413E+03  0.195843E+02
   0.285341E+00  0.278685E+03  0.211600E+02
   0.291325E+00  0.284990E+03  0.228093E+02
   0.297309E+00  0.291329E+03  0.245326E+02
   0.303293E+00  0.297705E+03  0.263300E+02
   0.309277E+00  0.304116E+03  0.282016E+02
   0.315261E+00  0.310564E+03  0.301474E+02
   0.321245E+00  0.317050E+03  0.321672E+02
   0.327229E+00  0.323575E+03  0.342610E+02
   0.333213E+00  0.330138E+03  0.364285E+02
   0.339197E+00  0.336741E+03  0.386695E+02
   0.345181E+00  0.343384E+03  0.409836E+02
   0.351165E+00  0.350067E+03  0.433705E+02
   0.357149E+00  0.356792E+03  0.458298E+02
   0.363133E+00  0.363559E+03  0.483610E+02
   0.369116E+00  0.370368E+03  0.509638E+02
   0.375100E+00  0.377220E+03  0.536375E+02
   0.381084E+00  0.384115E+03  0.563817E+02
   0.387068E+00  0.391054E+03  0.591959E+02
   0.393052E+00  0.398037E+03  0.620796E+02
   0.399036E+00  0.405064E+03  0.650320E+02
   0.405020E+00  0.412136E+03  0.680528E+02
   0.411004E+00  0.419253E+03  0.711414E+02
   0.416988E+00  0.426416E+03  0.742971E+02
   0.422972E+00  0.433624E+03  0.775194E+02
   0.428956E+00  0.440878E+03  0.808077E+02
   0.434940E+00  0.448179E+03  0.841615E+02
   0.440924E+00  0.455526E+03  0.875802E+02
   0.446908E+00  0.462921E+03  0.910633E+02
   0.452892E+00  0.470362E+03  0.946101E+02
   0.458876E+00  0.477850E+03  0.982201E+02
   0.464859E+00  0.485386E+03  0.101893E+03
   0.470843E+00  0.492970E+03  0.105628E+03
   0.476827E+00  0.500601E+03  0.109424E+03
   0.482811E+00  0.508281E+03  0.113282E+03
   0.488795E+00  0.516009E+03  0.117200E+03
   0.494779E+00  0.523785E+03  0.121179E+03
   0.500763E+00  0.531609E+03  0.125217E+03
   0.506747E+00  0.539483E+03  0.129314E+03
   0.512731E+00  0.547404E+03  0.133470E+03
   0.518715E+00  0.555375E+03  0.137684E+03
   0.524699E+00  0.563395E+03  0.141956E+03
   0.530683E+00  0.571464E+03  0.146286E+03
   0.536667E+00  0.579581E+03  0.150673E+03
   0.542651E+00  0.587749E+03  0.155116E+03
   0.548635E+00  0.595965E+03  0.159615E+03
   0.554618E+00  0.604231E+03  0.164170E+03
