#   rho[fm-3]     e[MeV.fm-3]   p[MeV.fm-3]
   0.400000E-01  0.378312E+02  0.131929E+00
   0.459839E-01  0.435119E+02  0.151366E+00
   0.519679E-01  0.491950E+02  0.169643E+00
   0.579518E-01  0.548801E+02  0.187718E+00
   0.639357E-01  0.605672E+02  0.206911E+00
   0.699197E-01  0.662562E+02  0.228847E+00
   0.759036E-01  0.719473E+02  0.255418E+00
   0.818876E-01  0.776407E+02  0.288750E+00
   0.878715E-01  0.833368E+02  0.331173E+00
   0.938554E-01  0.890362E+02  0.385198E+00
   0.998394E-01  0.947395E+02  0.453499E+00
   0.105823E+00  0.100447E+03  0.538886E+00
   0.111807E+00  0.106161E+03  0.644295E+00
   0.117791E+00  0.111880E+03  0.772763E+00
   0.123775E+00  0.117607E+03  0.927022E+00
   0.129759E+00  0.123341E+03  0.110842E+01
   0.135743E+00  0.129085E+03  0.132129E+01
   0.141727E+00  0.134839E+03  0.156924E+01
   0.147711E+00  0.140604E+03  0.185570E+01
   0.153695E+00  0.146382E+03  0.218400E+01
   0.159679E+00  0.152173E+03  0.255741E+01
   0.165663E+00  0.157980E+03  0.297913E+01
   0.171647E+00  0.163802E+03  0.345232E+01
   0.177631E+00  0.169642E+03  0.398003E+01
   0.183614E+00  0.175500E+03  0.456523E+01
   0.189598E+00  0.181379E+03  0.521079E+01
   0.195582E+00  0.187278E+03  0.591947E+01
   0.201566E+00  0.193201E+03  0.669388E+01
   0.207550E+00  0.199147E+03  0.753652E+01
   0.213534E+00  0.205119E+03  0.844974E+01
   0.219518E+00  0.211118E+03  0.943574E+01
   0.225502E+00  0.217144E+03  0.104965E+02
   0.231486E+00  0.223200E+03  0.116341E+02
   0.237470E+00  0.229285E+03  0.128500E+02
   0.243454E+00  0.235403E+03  0.141459E+02
   0.249438E+00  0.241553E+03  0.155231E+02
   0.255422E+00  0.247738E+03  0.169830E+02
   0.261406E+00  0.253957E+03  0.185265E+02
   0.267390E+00  0.260213E+03  0.201546E+02
   0.273373E+00  0.266506E+03  0.218680E+02
   0.279357E+00  0.272838E+03  0.236675E+02
   0.285341E+00  0.279209E+03  0.255535E+02
   0.291325E+00  0.285621E+03  0.275263E+02
   0.297309E+00  0.292074E+03  0.295863E+02
   0.303293E+00  0.298569E+03  0.317335E+02
   0.309277E+00  0.305108E+03  0.339680E+02
   0.315261E+00  0.311690E+03  0.362898E+02
   0.321245E+00  0.318318E+03  0.386988E+02
   0.327229E+00  0.324991E+03  0.411946E+02
   0.333213E+00  0.331711E+03  0.437770E+02
   0.339197E+00  0.338478E+03  0.464458E+02
   0.345181E+00  0.345292E+03  0.492003E+02
   0.351165E+00  0.352156E+03  0.520404E+02
   0.357149E+00  0.359068E+03  0.549653E+02
   0.363133E+00  0.366030E+03  0.579746E+02
   0.369116E+00  0.373042E+03  0.610678E+02
   0.375100E+00  0.380105E+03  0.642443E+02
   0.381084E+00  0.387220E+03  0.675033E+02
   0.387068E+00  0.394386E+03  0.708445E+02
   0.393052E+00  0.401604E+03  0.742670E+02
   0.399036E+00  0.408876E+03  0.777703E+02
