#M$_{max}$ ,90\% CI lower,,,median,,,90\% CI upper,
#,2.008 M$_\odot$ ,,,2.134 M$_\odot$,,,2.322 M$_\odot$,
#$\rho$,$\varepsilon$,P,,$\varepsilon$,P,,$\varepsilon$,P
#[fm$^{-3}],[MeV. Fm$^{-3}$],,,[MeV. Fm$^{-3}$],,,[MeV. Fm$^{-3}$],
0.0400,3.778E+01,1.490E-01,,3.771E+01,1.159E-01,,3.771E+01,9.860E-02
0.0460,4.346E+01,1.847E-01,,4.337E+01,1.511E-01,,4.337E+01,1.268E-01
0.0520,4.914E+01,2.226E-01,,4.904E+01,1.910E-01,,4.903E+01,1.589E-01
0.0580,5.483E+01,2.631E-01,,5.471E+01,2.359E-01,,5.469E+01,1.954E-01
0.0639,6.052E+01,3.068E-01,,6.038E+01,2.864E-01,,6.036E+01,2.371E-01
0.0699,6.621E+01,3.545E-01,,6.606E+01,3.430E-01,,6.604E+01,2.848E-01
0.0759,7.191E+01,4.072E-01,,7.175E+01,4.064E-01,,7.172E+01,3.395E-01
0.0819,7.761E+01,4.658E-01,,7.744E+01,4.776E-01,,7.740E+01,4.023E-01
0.0879,8.332E+01,5.317E-01,,8.314E+01,5.573E-01,,8.309E+01,4.745E-01
0.0939,8.903E+01,6.061E-01,,8.884E+01,6.466E-01,,8.878E+01,5.574E-01
0.0998,9.475E+01,6.903E-01,,9.455E+01,7.467E-01,,9.448E+01,6.524E-01
0.1058,1.005E+02,7.859E-01,,1.003E+02,8.585E-01,,1.002E+02,7.610E-01
0.1118,1.062E+02,8.944E-01,,1.060E+02,9.833E-01,,1.059E+02,8.849E-01
0.1178,1.119E+02,1.017E+00,,1.117E+02,1.122E+00,,1.116E+02,1.026E+00
0.1238,1.177E+02,1.154E+00,,1.174E+02,1.277E+00,,1.173E+02,1.185E+00
0.1298,1.234E+02,1.306E+00,,1.232E+02,1.448E+00,,1.231E+02,1.365E+00
0.1357,1.292E+02,1.476E+00,,1.289E+02,1.638E+00,,1.288E+02,1.566E+00
0.1417,1.349E+02,1.667E+00,,1.347E+02,1.844E+00,,1.346E+02,1.792E+00
0.1477,1.407E+02,1.879E+00,,1.405E+02,2.070E+00,,1.403E+02,2.041E+00
0.1537,1.465E+02,2.115E+00,,1.463E+02,2.317E+00,,1.461E+02,2.316E+00
0.1597,1.523E+02,2.376E+00,,1.520E+02,2.586E+00,,1.519E+02,2.620E+00
0.1657,1.581E+02,2.664E+00,,1.578E+02,2.881E+00,,1.577E+02,2.954E+00
0.1716,1.639E+02,2.981E+00,,1.637E+02,3.201E+00,,1.635E+02,3.321E+00
0.1776,1.697E+02,3.327E+00,,1.695E+02,3.550E+00,,1.693E+02,3.723E+00
0.1836,1.756E+02,3.705E+00,,1.753E+02,3.927E+00,,1.752E+02,4.162E+00
0.1896,1.814E+02,4.116E+00,,1.812E+02,4.335E+00,,1.810E+02,4.640E+00
0.1956,1.873E+02,4.561E+00,,1.870E+02,4.776E+00,,1.869E+02,5.159E+00
0.2016,1.932E+02,5.041E+00,,1.929E+02,5.249E+00,,1.928E+02,5.720E+00
0.2076,1.990E+02,5.557E+00,,1.988E+02,5.758E+00,,1.987E+02,6.326E+00
0.2135,2.050E+02,6.112E+00,,2.047E+02,6.303E+00,,2.046E+02,6.979E+00
